L,logL
1.0135541680719708e-21,-48.34082382084963
6.838979545161176e-16,-34.91872295670402
7.673191782240141e-16,-34.80362882059433
7.258335206240925e-14,-30.254040809810725
1.8883238660228435e-13,-29.29791661670344
1.0317764184317038e-11,-25.297154028153365
7.191007528078046e-17,-37.17111528990399
1.8879493647849876e-14,-31.600700054052453
5.027118500299111e-15,-32.9239294377112
2.5697828299140604e-19,-42.8052953735292
3.159510171414416e-16,-35.690944481367126
1.1745780873063621e-14,-32.07528229343614
7.885986706054192e-15,-32.47368904522206
1.1397933242919984e-19,-43.618269815397
1.7992582553036912e-13,-29.34623170933577
1.1563752651909933e-16,-36.69607114646583
4.70504178783649e-13,-28.38497155434414
3.1748485553049365e-17,-37.98868664880832
1.434557278151394e-20,-45.69084557523814
1.8587411340005737e-13,-29.31370676001366
3.2678672817221057e-18,-40.26239410918787
1.0639589052406808e-13,-29.871609441643123
9.695902352806212e-19,-41.477413408484566
4.656269915572937e-15,-33.00056171460407
2.7086263663703175e-15,-33.54233476440219
6.493879549798156e-15,-32.667916269323484
2.646794071753053e-11,-24.355086899560202
9.446056462928339e-22,-48.411274696969755
4.1034532731697116e-16,-35.42953260694914
1.627601604540718e-13,-29.446498685945343
3.7785834915774474e-15,-33.209427193188816
5.43086422156256e-22,-48.964773767761756
8.486511017328591e-16,-34.70288352406794
1.2541888282553403e-14,-32.00970229029617
4.429050976394671e-15,-33.0505910603509
5.51719678669658e-18,-39.738661771089376
1.89201262562198e-14,-31.59855015814749
1.8007038439967648e-13,-29.345428596007963
1.8650765901595345e-13,-29.310304089560375
1.1452468526696266e-13,-29.797986003301773
7.267336430382118e-15,-32.55538654871244
1.3591135067876954e-19,-43.442284112918905
7.028835702050623e-15,-32.58875532128934
1.1256379184985883e-13,-29.815256295306472
4.396519209325801e-14,-30.755378162857873
2.349597367116269e-19,-42.89487278655201
2.422294809869212e-21,-47.469571593487956
5.5198387451291945e-15,-32.8304277478873
2.6973289985722674e-16,-35.84909946432291
1.0798199326932528e-19,-43.67232246863929
6.530755989007279e-17,-37.267423872641125
2.226395550426552e-19,-42.9487328342101
4.5376529351561386e-15,-33.0263664911701
9.639093647610742e-16,-34.57553440365982
8.659568969924497e-12,-25.47235616711893
5.625727332506279e-16,-35.114011244616556
2.2220915674015726e-17,-38.345497681078776
4.574167384936057e-12,-26.110596426127387
1.196542588514078e-18,-41.26709545191505
4.309878059354066e-15,-33.07786678368853
